ATC_code,applicant,composition,dosage_form,international_name,link_of_instruction,manufacturer,number_of_certificate,original,prescribed,registration_date,storage_list,term_of_usage,trade_name,validity
L01BC07,"Государственное научное учреждение ИНСТИТУТ БИООРГАНИЧЕСКОЙ ХИМИИ НАН БЕЛАРУСИ, Республика Беларусь",Azacitidine,лиофилизат для приготовления суспензии для подкожного введения 100мг во флаконах в упаковке №1,Azacitidine,"https://rceth.by//NDfiles/instr/23_07_2677_s.pdf,https://rceth.by//NDfiles/instr/23_07_2677_p.pdf","Государственное научное учреждение ИНСТИТУТ БИООРГАНИЧЕСКОЙ ХИМИИ НАН БЕЛАРУСИ, Республика Беларусь",23/07/2677,генерик,по рецепту,14.04.2022,,2 года,АЗАЦИТИДИН,бессрочно
M01AB05,"Интеграфарм ЗАО, Республика Беларусь",Diclofenac,"суппозитории ректальные 100мг в контурной ячейковой упаковке №5х2,суппозитории ректальные 50мг в контурной ячейковой упаковке №5х2",Diclofenac,"https://rceth.by//NDfiles/instr/21_03_3121_s.pdf,https://rceth.by//NDfiles/instr/21_03_3121_p.pdf","Farmaprim SRL, Республика Молдова/ Интеграфарм ЗАО, Республика Беларусь",21/03/3121,генерик,по рецепту,24.03.2021,,3 года,ДИКЛОФЕНАК,24.03.2026
B05AA01,"Общество с ограниченной ответственностью Далиомфарма (ООО Далиомфарма), Республика Беларусь",Albumin,"раствор для инфузий 200мг/мл в полимерных контейнерах 50мл, 100мл в упаковке №1,раствор для инфузий 50мг/мл в полимерных контейнерах 100мл, 250мл, 500мл в упаковке №1,раствор для инфузий 50мг/мл во флаконах стеклянных 5мл, 20мл в упаковке №5",Albumin,"https://rceth.by//NDfiles/instr/23_07_2770_p.pdf,https://rceth.by//NDfiles/instr/23_07_2770_s.pdf","Общество с ограниченной ответственностью Далиомфарма (ООО Далиомфарма), Республика Беларусь",23/07/2770,оригинальное,по рецепту,17.01.2023,,2 года,АЛЬБУФАРМ,бессрочно
R07AX,"БИОТЕСТ НПК ООО, Республика Беларусь",Sambucus nigra L.,цельное сырье  50г в пачке,Sambucus nigra L.,"https://rceth.by//NDfiles/instr/17_07_1137_p.pdf,https://rceth.by//NDfiles/instr/17_07_1137_s.pdf","БИОТЕСТ НПК ООО, Республика Беларусь",17/07/1137,генерик,без рецепта,07.07.2017,,2 года,БУЗИНЫ ЧЕРНОЙ ЦВЕТКИ,бессрочно
D08AC52,"Государственное предприятие Бобруйский завод биотехнологий, Республика Беларусь","Chlorhexidine, combinations","раствор спиртовой для наружного применения  в бутылках 500мл, 1000мл в упаковке №15,раствор спиртовой для наружного применения  во флаконах 100мл в упаковке №1,раствор спиртовой для наружного применения  во флаконах 100мл в упаковке №60","Chlorhexidine, combinations",https://rceth.by//NDfiles/instr/23_10_1769_i.pdf,"Государственное предприятие Бобруйский завод биотехнологий, Республика Беларусь",23/10/1769,инновационное,для стационаров,09.12.2020,,3 года,ВИТАСЕПТ-СКО,бессрочно
C07AB07,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Bisoprolol,"таблетки, покрытые  пленочной оболочкой, 10мг в контурной ячейковой  упаковке №10х3, №10х6,таблетки, покрытые  пленочной оболочкой, 2,5мг в контурной ячейковой  упаковке №10х3, №10х6,таблетки, покрытые  пленочной оболочкой, 5мг в контурной ячейковой  упаковке №10х3, №10х6",Bisoprolol,"https://rceth.by//NDfiles/instr/23_12_1981_s.pdf,https://rceth.by//NDfiles/instr/23_12_1981_p.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",23/12/1981,генерик,по рецепту,22.02.2017,,2 года,БИСОПРОЛОЛ,бессрочно
L03AB05,"БИОКАД АО, Российская Федерация",Interferon alfa-2b,"спрей назальный дозированный 50000МЕ+1мг/доза по 100 доз во флаконах, укупоренных дозатором с защитным колпачком в упаковке №1",Interferon alfa-2b,https://rceth.by//NDfiles/instr/10005_12_19_24_i.pdf,"БИОКАД АО, Российская Федерация",10005/12/19/24,оригинальное,без рецепта,21.01.2019,,2 года,ГЕНФЕРОН® ЛАЙТ,бессрочно
G03AA,"Bayer AG, Германия","Progestogens and estrogens, fixed combinations","таблетки, покрытые пленочной  оболочкой,  в блистерах в упаковке №28(21+7)х1","Progestogens and estrogens, fixed combinations",https://rceth.by//NDfiles/instr/10357_15_17_19_20_i.pdf,"Bayer AG, Германия  manufactured by  Bayer Weimar GmbH & Co. KG, Германия",10357/15/17/19/20,оригинальное,по рецепту,24.04.2020,,3 года,ЯРИНА ПЛЮС,бессрочно
R02A,"Акционерное общество Валента Фармацевтика (АО Валента Фарм), Российская Федерация",Throat preparations,таблетки для рассасывания  в контурной ячейковой упаковке №9х2,Throat preparations,"https://rceth.by//NDfiles/instr/9545_11_16_18_19_s.pdf,https://rceth.by//NDfiles/instr/9545_11_16_18_19_p.pdf","Акционерное общество Валента Фармацевтика (АО Валента Фарм), Российская Федерация",9545/11/16/18/19,генерик,без рецепта,02.03.2016,,2 года,ГРАММИДИН С АНЕСТЕТИКОМ НЕО,бессрочно
J01CR02,"GlaxoSmithKline Export Ltd, Великобритания",Amoxicillin and enzyme inhibitor,"порошок для приготовления 100мл суспензии для приема внутрь 600мг+42,9мг/5мл во флаконах в упаковке №1",Amoxicillin and enzyme inhibitor,"https://rceth.by//NDfiles/instr/10081_13_17_18_p.pdf,https://rceth.by//NDfiles/instr/10081_13_17_18_s.pdf","Glaxo Wellcome Production, Франция",10081/13/17/18,оригинальное,по рецепту,27.08.2018,,2 года,АУГМЕНТИН ЕС,бессрочно
S01EE01,"S.C. Rompharm Company S.R.L., Румыния",Latanoprost,"капли глазные, раствор 0,05мг/мл во флаконах-капельницах 2,5мл в упаковке №1",Latanoprost,"https://rceth.by//NDfiles/instr/11023_21_p.pdf,https://rceth.by//NDfiles/instr/11023_21_s.pdf","S.C. Rompharm Company S.R.L., Румыния упаковано Лекфарм СООО, Республика Беларусь",11023/21,генерик,по рецепту,12.08.2021,,3 года,ГЛАУПРОСТ РОМФАРМ,12.08.2026
A10BD07,"Merck Sharp & Dohme LLC., США",Metformin and sitagliptin,"таблетки, покрытые пленочной оболочкой 50мг/1000мг в блистерах в упаковке №14х4,таблетки, покрытые пленочной оболочкой 50мг/850мг в блистерах в упаковке №14х4",Metformin and sitagliptin,https://rceth.by//NDfiles/instr/10128_13_15_18_23_i.pdf,"Aesica Queenborough Ltd., Великобритания / Merck Sharp&Dohme B.V., Нидерланды",10128/13/15/18/23,оригинальное,по рецепту,30.05.2018,,2 года,ЯНУМЕТ,бессрочно
,"Лекфарм СООО, Республика Беларусь",Dexketoprofen,субстанция,Dexketoprofen,,"Saurav Chemicals Limited, Индия",2066/15/20/20,не определено,,19.11.2020,,5 лет,ДЕКСКЕТОПРОФЕНА ТРОМЕТАМОЛ,бессрочно
G03AA12,"Bayer AG, Германия",Drospirenone and ethinylestradiol,"таблетки, покрытые  пленочной оболочкой, 3мг/0,03мг в блистерах в упаковке №21х1",Drospirenone and ethinylestradiol,"https://rceth.by//NDfiles/instr/7256_05_10_13_15_17_19_20_s.pdf,https://rceth.by//NDfiles/instr/7256_05_10_13_15_17_19_20_p.pdf","Bayer Weimar GmbH & Co. KG, Германия/ Bayer AG, Германия",7256/05/10/13/15/17/19/20,оригинальное,по рецепту,08.04.2020,,3 года,ЯРИНА,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Dexketoprofen,субстанция,Dexketoprofen,,"Saurav Chemicals Limited, Индия",2240/17/22,не определено,,05.04.2017,,5 лет,ДЕКСКЕТОПРОФЕНА ТРОМЕТАМОЛ,бессрочно
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Calcium gluconate,субстанция,Calcium gluconate,,"Zhejiang Ruibang Laboratories, Китай",949/07/10/13/14/19,,,05.06.2019,,5 лет,КАЛЬЦИЯ ГЛЮКОНАТ,бессрочно
